status,title,company,location,date,blurb,tags,link,id,provider,query,locale,wage,remoteness
NEW,"Architecte de solutions terrain II, GenAI, Google Cloud",Google,"Waterloo, ON",2025-01-30,"Remarque : En postulant à cette offre, vous pourrez indiquer où vous préférez travailler parmi les propositions suivantes : Toronto, ON, Canada; Montreal, QC, Canada; Waterloo, ON, Canada.…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=f7e04eb1924dbcaa,IndeedScraperCANEng_f7e04eb1924dbcaa,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Cloud DevOps Manager,Pwc Canada,"Waterloo, ON N2J 5A2",2025-01-22,"A career within our Infrastructure practice will provide you with the opportunity to design, build, coordinate and maintain the IT environments for clients to run internal operations, collect data,…","Job types: Full-time
Remote: Hybrid work
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=e62d336da8eaf122,IndeedScraperCANEng_e62d336da8eaf122,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,"Technical Solutions Consultant, Applied AI, Contact Center AI",Google,"Waterloo, ON",2025-01-31,"Minimum qualifications: • Bachelor's degree in Science, Technology, Engineering, Mathematics, or equivalent practical experience. • 5 years of experience in solution developing and 3 years of…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=26c55a7f397314eb,IndeedScraperCANEng_26c55a7f397314eb,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Senior Technical Support Specialist (DevOps Support),OpenText,"Waterloo, ON N2L 0A1",2025-01-22,"In this role, you will support a product suite (DevOps) that helps our enterprise level customers improve developer experience, ship high-quality applications faster and meet increasing business…",,https://www.indeed.ca/m/viewjob?jk=6d02fca3bb2ea977,IndeedScraperCANEng_6d02fca3bb2ea977,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Full Stack Software Developer - Release Tools (Contract),PlayStation Global,"Waterloo, ON",2025-02-06,"Why PlayStation? PlayStation isn't just the Best Place to Play — it's also the Best Place to Work. Today, we're recognized as a global leader in entertainment producing The PlayStation family of…","Job types: Contract
Job types cc: Contract",https://www.indeed.ca/m/viewjob?jk=7ea7dcd7121fd06a,IndeedScraperCANEng_7ea7dcd7121fd06a,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,AI Engineer,Coastal Carbon,"Waterloo, ON",2025-01-22,"Who are we? Coastal Carbon is a seed-funded startup on a mission to create positive impact through earth observation and AI. Founded at the University of Waterloo by a team of PhDs and engineers, we…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=c492b4e06db35194,IndeedScraperCANEng_c492b4e06db35194,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Principal Software Developer,OpenText,"Waterloo, ON N2L 0A1",2025-02-15,"OpenText IT Operations Management (ITOM) delivers intelligent, automated solutions that empower businesses to monitor, manage, and optimize complex IT environments.",,https://www.indeed.ca/m/viewjob?jk=4a0e3a212ed2358b,IndeedScraperCANEng_4a0e3a212ed2358b,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Data Analyst,CONESTOGA COLLEGE,"Cambridge, ON",2025-02-12,"Administrative Full-time New Positions Reporting to the Director, Research at The Canadian Institute for Safety, Wellness & Performance (CISWP), the Data analyst will analyze complex datasets to…","Job types: Full-time
Remote: Hybrid work
Benefits: Extended health care, Disability insurance, Dental care, Tuition reimbursement, Company pension, Employee assistance program, Vision care, Life insurance, On-site parking
Job types cc: Full-time
Schedules: Monday to Friday",https://www.indeed.ca/m/viewjob?jk=2c6362df7a69e3e0,IndeedScraperCANEng_2c6362df7a69e3e0,IndeedScraperCANEng,Python,CANADA_ENGLISH,$85529 - $106911 yearly,TEMPORARILY_REMOTE
NEW,Systems Integrator,Rockwell Automation,"Kitchener, ON",2025-02-20,"Authoring and modifying software code (python, C++, or other). SEs design and implement fleets of OTTO autonomous mobile robots (AMR) and software at our customer facilities.","Job types: Full-time
Remote: Hybrid work
Benefits: RRSP match, Dental care, Paid time off, Employee assistance program, Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=deef314017b9beb2,IndeedScraperCANEng_deef314017b9beb2,IndeedScraperCANEng,Python,CANADA_ENGLISH,,TEMPORARILY_REMOTE
NEW,Senior Software Developer (Java) 1,OpenText,"Waterloo, ON N2L 0A1",2025-02-15,"OPENTEXT OpenText is a global leader in information management, where innovation, creativity, and collaboration are the key components of our corporate culture. As a member of our team, you will…",,https://www.indeed.ca/m/viewjob?jk=aeae7588913db4e4,IndeedScraperCANEng_aeae7588913db4e4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Research & Development Engineering Associate (Co-Op),NERv Technology Inc. D.B.A. FluidAI Medical,"Kitchener, ON N2H 5L6",2025-01-22,"Company Description: FluidAI Medical is creating a paradigm shift in post-operative care, utilizing the plethora of data within the body to help in the detection of post-operative complications at…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=53c3e316cc0815b7,IndeedScraperCANEng_53c3e316cc0815b7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Software Developer,Apple,"Waterloo, ON N2L 5W6",2025-02-07,"Summary Posted: 7 Dec 2024 Weekly Hours: 37.5 Role Number:200581436 Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer…",,https://www.indeed.ca/m/viewjob?jk=4af4ac8ea2dcef2e,IndeedScraperCANEng_4af4ac8ea2dcef2e,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Business Intelligence Specialist,KidsAbility,"Waterloo, ON N2K 3P5",2025-02-19,"*Business Intelligence Specialist * Fulltime, Permanent | Start Date: ASAP | Waterloo & Other Sites Closing Date: February 27, 2025 About KidsAbility: We are a not-for-profit, equal…","Job types: Full-time
Benefits: Extended health care, RRSP match, Disability insurance, Dental care, Paid time off, Company events, Employee assistance program, RRSP, Life insurance, On-site parking
Job types cc: Permanent, Full-time
Schedules: Monday to Friday",https://www.indeed.ca/m/viewjob?jk=df789b2e023b508a,IndeedScraperCANEng_df789b2e023b508a,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Systems Integrator,Rockwell Automation,"Kitchener, ON",2025-02-20,"Authoring and modifying software code (python, C++, or other). This role will report into the Systems Engineering Manager. The Systems Engineering (SE) team works closely with our Project Management…","Job types: Full-time
Remote: Hybrid work
Benefits: RRSP match, Dental care, Paid time off, Employee assistance program, Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=04887f47a7e0b475,IndeedScraperCANEng_04887f47a7e0b475,IndeedScraperCANEng,Python,CANADA_ENGLISH,$63200 - $94800 yearly,TEMPORARILY_REMOTE
NEW,Senior Principal Software Engineer / Lead Engineer - Adtech/Martech,Atomic,"Kitchener-Waterloo, ON",2025-01-22,"This real-time data fuels advanced analytics and warehousing systems that drive online marketing success. Drive Engineering Leadership: Lead the evolution of Adentro’s Adtech/Martech stack, including…","Job types: Full-time
Remote: Remote
Benefits: Stock options
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=97464f551237ba77,IndeedScraperCANEng_97464f551237ba77,IndeedScraperCANEng,Python,CANADA_ENGLISH,$200000 - $270000 yearly,FULLY_REMOTE
NEW,Software Developer III,Verily,"Waterloo, ON",2025-01-25,"Our unique expertise and capabilities in technology, data science and healthcare enable the entire healthcare ecosystem to drive better health outcomes.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=24c70936f9eb135c,IndeedScraperCANEng_24c70936f9eb135c,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Sr. Deployment Manager,Canadian Solar,"Kitchener, ON",2025-01-22,"Job Description Sr. Deployment Manager e-STORAGE is a subsidiary of Canadian Solar and a leading company specializing in the design, manufacturing, and integration of battery energy storage…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=edfb7fb0f0fa1992,IndeedScraperCANEng_edfb7fb0f0fa1992,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Wind Engineer - Aeroelastic Structures,Rowan Williams Davies & Irwin,"Guelph, ON N1G 4P6",2025-01-22,Client First: Working with our clients and your colleagues at RWDI to solve challenging engineering problems related to wind loads and effects on structures.,"Job types: Full-time
Benefits: RRSP match
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=cf9634eb620c2ba1,IndeedScraperCANEng_cf9634eb620c2ba1,IndeedScraperCANEng,Python,CANADA_ENGLISH,$65000 - $80000 yearly,UNKNOWN
NEW,Data ML Program Manager- Product Operations,Apple,"Waterloo, ON N2L 5W6",2025-02-12,"Summary Posted: 11 Nov 2024 Weekly Hours: 40 Role Number:200577798 Imagine what you could do here. At Apple, new ideas have a way of becoming extraordinary products, services, and customer…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=2386478b20b564c3,IndeedScraperCANEng_2386478b20b564c3,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Data ML Program Manager- Product Operations,Apple,"Waterloo, ON N2L 5W6",2025-02-12,"Product Operations group is looking to add a Data and Machine Learning Program Manager to support data systems, automation, machine learning, tools that enhance manufacturing of Apple's products.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=e997ce77cd20a3e7,IndeedScraperCANEng_e997ce77cd20a3e7,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Software Technical Manager, Data Intelligence, Workspace Abuse Protection",Google,"Waterloo, ON",2025-01-22,"Bachelor's degree or equivalent practical experience. 8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java, JavaScript).","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=76e7da5bbcbf0460,IndeedScraperCANEng_76e7da5bbcbf0460,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Software Developer (On-Device),Miovision,"Kitchener, ON N2G 4X8",2025-01-22,Miovision is a global industry leading company providing agencies and organizations modern tools to improve today’s traffic problems. We offer solutions that collect multimodal traffic data and…,"Job types: Full-time
Remote: Remote
Benefits: RRSP match
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=26e0a48f94a993f4,IndeedScraperCANEng_26e0a48f94a993f4,IndeedScraperCANEng,Python,CANADA_ENGLISH,,FULLY_REMOTE
NEW,"Software Developer, II",Verily,"Waterloo, ON",2025-02-12,"Our unique expertise and capabilities in technology, data science and healthcare enable the entire healthcare ecosystem to drive better health outcomes.","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=521160c93c5c4001,IndeedScraperCANEng_521160c93c5c4001,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Software Developer,Apple,"Waterloo, ON N2L 5W6",2025-02-07,"This data is used throughout the company and the product's lifecycle: from the very beginning, to validate that units being built are fully tested and of high quality before leaving the factory, all…",,https://www.indeed.ca/m/viewjob?jk=ae3b9cb42aa827e0,IndeedScraperCANEng_ae3b9cb42aa827e0,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,"Software Development Manager II, AI/ML, Google Cloud AI",Google,"Waterloo, ON",2025-02-10,"Minimum qualifications: • Bachelor’s degree or equivalent practical experience. • 8 years of experience with software development in one or more programming languages (e.g., Python, C, C++, Java,…","Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=c278d314940aac85,IndeedScraperCANEng_c278d314940aac85,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,Digital IC Designer,onsemi,"Waterloo, ON",2025-01-22,"JOB DESCRIPTION At onsemi , we help improve lives through silicon solutions every day. Our intelligent power and sensing technologies solve the world’s most complex challenges and lead the way in…","Job types: Full-time
Benefits: Flexible schedule
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=cd4212662f94b8aa,IndeedScraperCANEng_cd4212662f94b8aa,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,R&D Engineer II (CFD),Ansys,"Waterloo, ON N2J 4G8",2025-01-31,"Requisition #: 16096 Our Mission: Powering Innovation That Drives Human Advancement When visionary companies need to know how their world-changing ideas will perform, they close the gap between…",,https://www.indeed.ca/m/viewjob?jk=39d24c7942dd4611,IndeedScraperCANEng_39d24c7942dd4611,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
NEW,DSP Product Lead,Spire,"Cambridge, ON",2025-01-22,The Signal Processing Systems Team is part of Spire's office of the CTO. Spire owns and operates over 120 nanosatellites constantly collecting RF activity across the spectrum. This team has the…,"Remote: Hybrid work
Benefits: Employee stock purchase plan, Paid time off, Employee assistance program",https://www.indeed.ca/m/viewjob?jk=e28ca3852615ce9e,IndeedScraperCANEng_e28ca3852615ce9e,IndeedScraperCANEng,Python,CANADA_ENGLISH,$116000 - $152000 yearly,TEMPORARILY_REMOTE
NEW,"Student Researcher, BS/MS, Winter/Summer 2025",Google,"Waterloo, ON",2025-01-22,This opportunity is intended for students who are pursuing a Bachelor's or Master’s degree program in Computer Science or a related field. Our Student Researcher opportunities are flexible in time…,"Job types: Full-time
Job types cc: Full-time",https://www.indeed.ca/m/viewjob?jk=cc784916d707cf61,IndeedScraperCANEng_cc784916d707cf61,IndeedScraperCANEng,Python,CANADA_ENGLISH,,UNKNOWN
